asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/29 13:31:27.299,LocalForwarder,preprocessed,preprocessed,1,7256,-767.26,9.82,78776.04,307.36,0.01,307.36,831.62,1068
2023/05/29 13:31:27.731,LocalForwarder,preprocessed,preprocessed,3,7257,-460.76,5.36,335.26,307.36,0.02,307.36,926.93,1069
2023/05/29 13:31:28.307,LocalForwarder,preprocessed,preprocessed,4,7258,-162.33,5.51,315.37,307.36,0.01,307.36,1184.61,1070
2023/05/29 13:31:29.046,LocalForwarder,preprocessed,preprocessed,7,7259,-385.3,5.71,117.12,307.36,0.01,307.36,1621.94,1071
2023/05/29 13:31:29.466,LocalForwarder,preprocessed,preprocessed,8,7260,-122.15,9.92,68.22,307.36,0.02,307.36,1658.08,1072
2023/05/29 13:31:29.769,LocalForwarder,preprocessed,preprocessed,9,7261,12.56,147.48,2.25,307.36,0.02,307.36,1453.01,1073
2023/05/29 13:31:30.092,LocalForwarder,preprocessed,preprocessed,13,7262,54.14,504.87,11.16,307.36,0.06,307.36,1022.33,1074
2023/05/29 13:31:30.474,LocalForwarder,preprocessed,preprocessed,14,7263,447.33,487.81,1.31,307.36,0.02,307.36,992.35,1075
2023/05/29 13:31:30.774,LocalForwarder,preprocessed,preprocessed,16,7264,382.69,506.07,3.75,307.36,0.01,307.36,995.61,1076
2023/05/29 13:31:31.576,LocalForwarder,preprocessed,preprocessed,19,7265,-176.36,349.3,0.42,307.36,0.01,307.36,1478.19,1077
2023/05/29 13:31:32.031,LocalForwarder,preprocessed,preprocessed,22,7266,-483.69,15.03,167.21,307.36,0.02,307.36,1382.66,1078
2023/05/29 13:31:32.393,LocalForwarder,preprocessed,preprocessed,1,7267,-579.92,5.09,382.8,307.36,0.03,307.36,1231.29,1079
2023/05/29 13:31:32.998,LocalForwarder,preprocessed,preprocessed,3,7268,-213.4,146.66,2.46,307.36,0.01,307.36,1412.67,1080
2023/05/29 13:31:33.414,LocalForwarder,preprocessed,preprocessed,24,7269,381.63,411.68,2.58,307.36,0.02,307.36,1370.43,1081
2023/05/29 13:31:33.763,LocalForwarder,preprocessed,preprocessed,4,7270,578.82,417.91,1.91,307.36,0.01,307.36,1359.93,1082
2023/05/29 13:31:34.490,LocalForwarder,preprocessed,preprocessed,7,7271,160.71,569.11,3.07,307.36,0.01,307.36,1484.31,1083
2023/05/29 13:31:35.147,LocalForwarder,preprocessed,preprocessed,8,7272,569.42,667.03,0.94,307.36,0.02,307.36,1715.51,1084
2023/05/29 13:31:35.546,LocalForwarder,preprocessed,preprocessed,25,7273,2113.03,1004.76,1.11,307.36,0.02,307.36,1760.52,1085
2023/05/29 13:31:35.889,LocalForwarder,preprocessed,preprocessed,9,7274,1343.46,1106.36,4.84,307.36,0.04,307.36,1384.93,1086
2023/05/29 13:31:36.286,LocalForwarder,preprocessed,preprocessed,28,7275,2379.91,1464.97,0.39,307.36,0.01,307.36,1132.67,1087
2023/05/29 13:31:36.611,LocalForwarder,preprocessed,preprocessed,13,7276,1703.18,1478.92,0.87,307.36,0.07,307.36,1039.69,1088
2023/05/29 13:31:37.272,LocalForwarder,preprocessed,preprocessed,29,7277,3136.89,1808.9,16.14,307.36,0.03,307.36,1351.88,1089
2023/05/29 13:31:37.661,LocalForwarder,preprocessed,preprocessed,14,7278,2410.17,1971.37,0.39,307.36,0.01,307.36,1369.73,1090
2023/05/29 13:31:38.002,LocalForwarder,preprocessed,preprocessed,30,7279,2719.76,2088.12,0.44,307.36,0.02,307.36,1384.61,1091
2023/05/29 13:31:38.921,LocalForwarder,preprocessed,preprocessed,31,7280,2489.73,2496.41,7.89,307.36,0.04,307.36,1632.31,1092
2023/05/29 13:31:39.189,LocalForwarder,preprocessed,preprocessed,16,7281,3024.31,2760.75,0.41,307.36,0.01,307.36,1521.89,1093
2023/05/29 13:31:39.509,LocalForwarder,preprocessed,preprocessed,32,7282,2767.14,2892.12,0.36,307.36,0.01,307.36,1500.51,1094
2023/05/29 13:31:39.887,LocalForwarder,preprocessed,preprocessed,19,7283,3037.51,3174.82,1.94,307.36,0.01,307.36,956.24,1095
2023/05/29 13:31:40.239,LocalForwarder,preprocessed,preprocessed,33,7284,3554.12,3320.15,0.4,307.36,0.01,307.36,1044.13,1096
2023/05/29 13:31:40.699,LocalForwarder,preprocessed,preprocessed,35,7285,3554.95,3032.21,5.54,307.36,0.02,307.36,1172.23,1097
2023/05/29 13:31:41.104,LocalForwarder,preprocessed,preprocessed,22,7286,2651.43,3307.13,0.74,307.36,0.01,307.36,1204.01,1098
