asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 00:30:37.983,LocalExecutor2,input,result,1,41503,845.63,846.71,90611.02,13.19,304.86,48.05,7.21,61170
2023/06/27 00:30:38.018,LocalExecutor2,input,result,9,41508,847.03,788.29,42.67,12.75,36.98,46.01,2.8,61171
2023/06/27 00:30:38.057,LocalExecutor2,input,result,13,41509,750.5,750.87,65.71,12.75,28.27,46.07,3.33,61173
2023/06/27 00:30:38.139,LocalExecutor2,input,result,14,41510,812.27,812.6,83.14,12.69,26.5,45.74,3.34,61174
2023/06/27 00:30:38.203,LocalExecutor2,input,result,16,41511,812.23,791.66,63.93,12.66,27.47,45.95,2.68,61176
2023/06/27 00:30:38.244,LocalExecutor2,input,result,19,41512,748.9,749.86,39.29,12.82,27.55,46.36,3.58,61177
2023/06/27 00:30:38.370,LocalExecutor2,input,result,22,41513,748.07,748.79,126.44,12.96,26.14,47.2,3.45,61179
2023/06/27 00:30:38.440,LocalExecutor2,input,result,24,41514,749.05,749.33,70.79,12.81,26.81,46.8,3.0,61181
2023/06/27 00:30:38.480,LocalExecutor2,input,result,25,41515,772.75,772.87,37.56,12.81,29.33,46.8,3.42,61182
2023/06/27 00:30:38.597,LocalExecutor2,input,result,28,41516,773.21,774.24,89.84,11.75,55.9,42.16,3.02,61184
2023/06/27 00:30:38.638,LocalExecutor2,input,result,29,41517,828.63,799.05,69.98,11.75,27.38,42.16,2.79,61186
2023/06/27 00:30:38.682,LocalExecutor2,input,result,30,41518,825.19,771.38,44.17,12.45,27.7,44.75,2.72,61187
2023/06/27 00:30:38.749,LocalExecutor2,input,result,31,41519,802.78,774.16,46.56,12.9,43.31,46.7,4.84,61189
2023/06/27 00:30:38.780,LocalExecutor2,input,result,32,41520,819.85,774.25,34.22,13.1,30.7,47.51,3.55,61190
2023/06/27 00:30:38.823,LocalExecutor2,input,result,33,41521,813.96,788.22,60.6,12.92,26.56,47.07,2.77,61191
2023/06/27 00:30:38.899,LocalExecutor2,input,result,35,41522,826.3,802.61,74.34,13.0,28.39,47.63,3.0,61193
2023/06/27 00:30:38.978,LocalExecutor2,input,result,39,41523,752.81,753.7,77.24,12.89,27.4,46.77,3.55,61194
2023/06/27 00:30:39.049,LocalExecutor2,input,result,40,41524,804.57,805.56,73.18,12.85,26.89,46.81,2.93,61196
2023/06/27 00:30:39.146,LocalExecutor2,input,result,44,41525,741.27,741.86,98.3,12.83,26.29,46.66,2.95,61198
2023/06/27 00:30:39.222,LocalExecutor2,input,result,46,41526,748.39,749.21,73.39,12.75,26.99,46.14,3.1,61200
2023/06/27 00:30:39.441,LocalExecutor2,input,result,50,41527,751.3,751.78,217.95,12.69,28.43,45.77,2.97,61202
2023/06/27 00:30:39.924,LocalExecutor2,input,result,53,41528,800.19,800.53,191.27,12.2,317.73,49.65,4.34,61208
2023/06/27 00:30:39.957,LocalExecutor2,input,result,60,41531,818.09,818.4,75.77,12.59,31.63,45.52,2.77,61209
2023/06/27 00:30:40.079,LocalExecutor2,input,result,64,41532,781.64,782.61,143.16,12.5,28.26,45.05,4.71,61211
2023/06/27 00:30:40.128,LocalExecutor2,input,result,65,41533,805.53,805.74,52.69,12.49,27.38,45.37,3.34,61212
2023/06/27 00:30:40.213,LocalExecutor2,input,result,66,41534,871.76,814.61,84.71,12.49,28.48,45.37,2.98,61214
2023/06/27 00:30:40.278,LocalExecutor2,input,result,70,41535,782.98,783.75,64.12,12.3,28.21,44.45,2.97,61216
2023/06/27 00:30:40.351,LocalExecutor2,input,result,71,41536,828.94,801.88,74.08,12.3,28.11,44.13,2.94,61217
2023/06/27 00:30:40.431,LocalExecutor2,input,result,73,41537,855.15,808.67,76.16,12.26,27.09,44.18,6.02,61219
2023/06/27 00:30:40.499,LocalExecutor2,input,result,75,41538,840.21,806.08,70.29,12.25,26.98,44.32,3.82,61220
2023/06/27 00:30:40.551,LocalExecutor2,input,result,77,41539,824.93,798.49,53.71,12.31,27.64,44.29,2.79,61222
2023/06/27 00:30:40.638,LocalExecutor2,input,result,78,41540,875.85,820.24,84.57,10.01,27.46,36.08,4.38,61224
2023/06/27 00:30:40.678,LocalExecutor2,input,result,79,41541,854.4,803.6,42.32,11.89,27.68,42.62,2.95,61225
2023/06/27 00:30:40.725,LocalExecutor2,input,result,80,41542,845.3,777.63,48.87,12.33,25.55,44.62,2.67,61226
2023/06/27 00:30:40.821,LocalExecutor2,input,result,81,41543,863.53,821.94,94.24,12.38,26.43,45.0,2.83,61228
2023/06/27 00:30:40.881,LocalExecutor2,input,result,84,41544,831.68,832.0,59.85,12.18,27.04,44.44,2.68,61230
2023/06/27 00:30:40.963,LocalExecutor2,input,result,87,41545,753.89,754.69,81.06,12.1,27.48,44.46,2.64,61231
2023/06/27 00:30:41.006,LocalExecutor2,input,result,88,41546,775.4,775.92,41.05,12.1,28.48,44.46,2.84,61233
2023/06/27 00:30:41.111,LocalExecutor2,input,result,90,41547,810.88,811.36,102.41,12.11,30.53,44.05,3.14,61235
2023/06/27 00:30:41.182,LocalExecutor2,input,result,92,41548,840.17,840.66,75.17,12.08,26.94,43.84,2.81,61236
2023/06/27 00:30:41.401,LocalExecutor2,input,result,96,41549,818.77,819.67,216.0,11.92,29.87,43.03,2.93,61239
2023/06/27 00:30:41.472,LocalExecutor2,input,result,97,41550,842.8,843.83,68.93,11.92,30.1,43.03,4.44,61241
2023/06/27 00:30:41.560,LocalExecutor2,input,result,99,41551,874.1,811.67,83.6,11.99,31.59,43.02,6.39,61242
2023/06/27 00:30:41.597,LocalExecutor2,input,result,100,41552,840.37,798.19,28.07,9.76,34.42,35.24,4.71,61244
2023/06/27 00:30:41.701,LocalExecutor2,input,result,102,41553,874.75,839.77,115.12,11.73,28.6,42.35,6.94,61246
2023/06/27 00:30:41.748,LocalExecutor2,input,result,104,41554,858.23,814.53,50.21,12.01,29.75,43.4,2.89,61247
2023/06/27 00:30:41.853,LocalExecutor2,input,result,105,41555,912.75,834.19,105.53,11.99,28.87,43.31,3.21,61249
2023/06/27 00:30:41.903,LocalExecutor2,input,result,107,41556,835.65,778.18,50.88,12.05,27.54,43.7,3.29,61250
2023/06/27 00:30:41.980,LocalExecutor2,input,result,108,41557,842.33,801.88,73.83,11.96,28.41,43.57,4.79,61252
2023/06/27 00:30:42.076,LocalExecutor2,input,result,109,41558,887.65,857.64,93.01,11.97,31.98,43.66,3.71,61254
2023/06/27 00:30:42.116,LocalExecutor2,input,result,112,41559,800.37,767.79,43.1,11.89,28.88,43.45,4.15,61255
2023/06/27 00:30:42.164,LocalExecutor2,input,result,114,41560,788.92,779.34,50.77,11.83,28.04,43.18,3.48,61257
2023/06/27 00:30:42.242,LocalExecutor2,input,result,115,41561,841.08,797.52,69.86,11.71,30.78,42.67,6.23,61258
2023/06/27 00:30:42.351,LocalExecutor2,input,result,117,41562,868.19,841.95,114.54,11.75,29.21,42.99,3.48,61260
2023/06/27 00:30:42.414,LocalExecutor2,input,result,119,41563,880.36,840.18,62.85,11.62,29.24,42.22,4.46,61262
2023/06/27 00:30:42.514,LocalExecutor2,input,result,120,41564,930.66,831.03,97.5,11.62,30.71,42.3,3.77,61264
2023/06/27 00:30:42.564,LocalExecutor2,input,result,123,41565,825.77,826.53,47.2,11.49,32.85,41.76,4.55,61265
2023/06/27 00:30:42.661,LocalExecutor2,input,result,126,41566,759.21,759.62,98.92,11.55,32.02,41.9,3.37,61267
2023/06/27 00:30:42.798,LocalExecutor2,input,result,127,41567,870.29,862.16,136.79,11.55,31.64,41.9,4.53,61269
2023/06/27 00:30:42.842,LocalExecutor2,input,result,128,41568,901.55,841.02,45.16,11.48,31.22,41.79,2.84,61270
2023/06/27 00:30:42.947,LocalExecutor2,input,result,132,41569,758.19,757.69,99.98,11.44,29.56,43.19,7.64,61272
2023/06/27 00:30:42.993,LocalExecutor2,input,result,133,41570,796.43,796.51,53.93,11.44,28.88,43.19,3.14,61274
2023/06/27 00:30:43.324,LocalExecutor2,input,result,141,41571,764.21,764.99,330.75,11.42,28.26,42.65,2.96,61277
2023/06/27 00:30:43.370,LocalExecutor2,input,result,142,41572,775.12,775.44,44.66,11.23,28.95,41.77,3.63,61279
2023/06/27 00:30:43.460,LocalExecutor2,input,result,143,41573,844.68,814.94,90.5,11.23,28.7,41.77,3.1,61281
2023/06/27 00:30:43.897,LocalExecutor2,input,result,153,41574,783.54,783.92,429.55,11.23,32.18,42.12,6.79,61285
2023/06/27 00:30:43.938,LocalExecutor2,input,result,155,41575,746.76,747.01,50.22,11.21,27.3,42.31,2.89,61287
2023/06/27 00:30:44.027,LocalExecutor2,input,result,157,41576,746.15,745.9,87.8,11.38,27.41,42.72,3.34,61288
2023/06/27 00:30:44.157,LocalExecutor2,input,result,159,41577,785.13,785.3,123.78,11.37,30.91,46.66,6.1,61290
2023/06/27 00:30:44.231,LocalExecutor2,input,result,160,41578,831.26,831.94,74.47,11.25,31.27,45.59,4.18,61292
2023/06/27 00:30:44.309,LocalExecutor2,input,result,163,41579,797.79,798.54,77.44,11.41,29.54,42.91,6.45,61294
2023/06/27 00:30:44.346,LocalExecutor2,input,result,164,41580,811.08,772.77,43.01,11.34,27.85,42.83,2.81,61295
2023/06/27 00:30:44.446,LocalExecutor2,input,result,166,41581,839.64,815.76,86.92,11.38,32.07,42.93,8.65,61297
2023/06/27 00:30:44.530,LocalExecutor2,input,result,168,41582,857.42,813.14,87.02,11.38,33.23,42.95,6.31,61298
2023/06/27 00:30:44.582,LocalExecutor2,input,result,170,41583,830.5,786.31,54.28,11.45,28.77,43.18,4.37,61300
2023/06/27 00:30:44.642,LocalExecutor2,input,result,172,41584,811.02,764.88,54.48,11.22,28.05,42.07,7.75,61301
2023/06/27 00:30:44.687,LocalExecutor2,input,result,173,41585,814.89,761.11,57.61,11.44,27.94,43.04,2.71,61303
2023/06/27 00:30:44.743,LocalExecutor2,input,result,174,41586,810.04,786.9,57.18,11.39,26.84,42.8,2.83,61304
2023/06/27 00:30:44.838,LocalExecutor2,input,result,177,41587,826.28,827.15,96.28,11.5,26.08,43.3,2.72,61306
2023/06/27 00:30:45.143,LocalExecutor2,input,result,178,41588,1085.13,1029.46,302.21,11.5,28.04,43.3,2.8,61310
2023/06/27 00:30:45.514,LocalExecutor2,input,result,179,41589,1396.18,1330.11,372.84,11.39,25.73,43.32,2.55,61314
2023/06/27 00:30:45.584,LocalExecutor2,input,result,180,41590,1391.8,1110.21,69.52,11.24,26.59,42.67,2.93,61315
2023/06/27 00:30:45.653,LocalExecutor2,input,result,183,41591,1107.35,796.79,67.36,11.13,28.07,41.8,2.6,61317
2023/06/27 00:30:45.711,LocalExecutor2,input,result,184,41592,844.72,794.58,56.81,11.04,26.07,41.4,4.32,61318
2023/06/27 00:30:45.752,LocalExecutor2,input,result,187,41593,770.18,771.15,37.15,11.27,28.56,42.12,3.85,61320
2023/06/27 00:30:45.792,LocalExecutor2,input,result,188,41594,800.49,775.32,45.29,11.27,27.0,42.12,3.14,61321
2023/06/27 00:30:45.870,LocalExecutor2,input,result,191,41595,819.12,805.57,79.14,11.34,25.83,42.98,3.07,61323
2023/06/27 00:30:45.982,LocalExecutor2,input,result,193,41596,810.53,794.61,65.8,11.21,52.55,42.03,10.7,61324
2023/06/27 00:30:46.038,LocalExecutor2,input,result,194,41597,881.46,821.99,94.03,11.17,32.93,41.92,3.19,61326
2023/06/27 00:30:46.148,LocalExecutor2,input,result,197,41598,854.88,855.77,81.03,10.99,55.29,41.3,4.92,61328
2023/06/27 00:30:46.932,LocalExecutor2,input,result,206,41599,737.84,738.66,813.05,11.11,28.58,41.98,4.47,61336
2023/06/27 00:30:47.074,LocalExecutor2,input,result,208,41600,798.69,797.8,142.28,11.14,31.52,41.47,2.96,61338
2023/06/27 00:30:47.118,LocalExecutor2,input,result,209,41601,820.84,807.9,50.65,11.03,26.59,41.39,2.75,61339
2023/06/27 00:30:47.181,LocalExecutor2,input,result,210,41602,861.74,788.49,61.55,11.15,26.89,41.92,3.17,61341
2023/06/27 00:30:47.257,LocalExecutor2,input,result,211,41603,836.33,801.06,74.4,11.11,28.75,41.81,3.12,61342
2023/06/27 00:30:47.302,LocalExecutor2,input,result,212,41604,839.29,791.82,44.5,11.16,29.3,41.91,2.64,61344
2023/06/27 00:30:47.401,LocalExecutor2,input,result,216,41605,808.83,809.34,99.19,11.1,27.92,41.55,2.98,61346
2023/06/27 00:30:47.470,LocalExecutor2,input,result,218,41606,806.35,807.26,68.1,11.19,29.61,41.63,2.85,61347
2023/06/27 00:30:47.689,LocalExecutor2,input,result,223,41607,738.58,739.0,219.58,11.31,27.83,42.67,3.29,61350
2023/06/27 00:30:47.764,LocalExecutor2,input,result,224,41608,804.93,805.36,76.19,11.31,27.85,42.67,2.75,61352
2023/06/27 00:30:47.847,LocalExecutor2,input,result,225,41609,852.69,808.15,79.56,11.18,26.3,42.03,6.83,61353
2023/06/27 00:30:47.893,LocalExecutor2,input,result,228,41610,775.79,776.39,48.35,11.2,27.7,42.01,3.52,61355
2023/06/27 00:30:48.031,LocalExecutor2,input,result,232,41611,756.88,757.66,136.06,11.02,28.86,41.39,4.37,61357
2023/06/27 00:30:48.118,LocalExecutor2,input,result,233,41612,819.48,801.56,86.69,11.02,27.85,41.39,3.88,61358
2023/06/27 00:30:48.228,LocalExecutor2,input,result,236,41613,771.19,771.31,110.74,10.99,28.73,41.4,3.31,61360
2023/06/27 00:30:48.299,LocalExecutor2,input,result,238,41614,747.99,748.26,73.94,10.99,26.93,41.55,2.49,61362
2023/06/27 00:30:48.419,LocalExecutor2,input,result,240,41615,754.33,754.74,120.05,10.94,26.39,41.19,2.76,61364
2023/06/27 00:30:48.584,LocalExecutor2,input,result,243,41616,752.67,752.91,160.2,9.81,30.22,36.96,3.18,61366
2023/06/27 00:30:48.630,LocalExecutor2,input,result,245,41617,745.53,746.3,46.09,11.01,29.25,41.84,3.15,61368
2023/06/27 00:30:48.726,LocalExecutor2,input,result,246,41618,824.31,824.07,95.73,11.01,28.96,41.84,3.32,61370
2023/06/27 00:30:48.806,LocalExecutor2,input,result,249,41619,788.19,788.63,82.64,11.05,27.84,42.1,3.24,61371
2023/06/27 00:30:48.842,LocalExecutor2,input,result,250,41620,784.36,785.06,36.17,11.11,27.24,42.14,2.84,61373
2023/06/27 00:30:48.895,LocalExecutor2,input,result,251,41621,800.46,781.82,54.36,11.11,26.32,42.14,2.74,61374
2023/06/27 00:30:48.970,LocalExecutor2,input,result,252,41622,848.65,801.94,73.22,11.04,27.99,41.77,2.72,61376
2023/06/27 00:30:49.055,LocalExecutor2,input,result,253,41623,868.46,809.96,82.62,11.04,26.18,41.9,6.26,61377
2023/06/27 00:30:49.101,LocalExecutor2,input,result,255,41624,798.0,775.16,48.38,11.04,27.24,41.85,2.89,61379
2023/06/27 00:30:49.200,LocalExecutor2,input,result,256,41625,864.52,823.68,96.38,11.09,27.92,41.77,3.9,61381
2023/06/27 00:30:49.289,LocalExecutor2,input,result,261,41626,740.26,741.23,88.51,10.9,29.03,41.08,3.36,61383
2023/06/27 00:30:49.384,LocalExecutor2,input,result,263,41627,767.15,767.44,96.01,10.94,28.69,40.77,3.21,61384
2023/06/27 00:30:49.474,LocalExecutor2,input,result,264,41628,824.02,825.02,93.47,10.94,26.14,40.77,2.56,61386
2023/06/27 00:30:49.535,LocalExecutor2,input,result,267,41629,751.25,752.17,58.54,8.46,27.2,31.92,3.03,61388
2023/06/27 00:30:49.641,LocalExecutor2,input,result,268,41630,836.13,837.17,104.29,9.75,28.23,36.59,3.39,61390
2023/06/27 00:30:49.689,LocalExecutor2,input,result,270,41631,819.63,777.36,51.74,10.53,25.93,39.21,2.82,61391
2023/06/27 00:30:49.754,LocalExecutor2,input,result,271,41632,830.95,790.82,63.66,10.75,26.34,40.12,3.34,61393
2023/06/27 00:30:49.839,LocalExecutor2,input,result,273,41633,832.73,815.23,87.29,11.1,25.11,41.7,2.71,61394
2023/06/27 00:30:49.887,LocalExecutor2,input,result,274,41634,851.01,771.61,44.12,11.17,28.48,42.23,2.71,61396
2023/06/27 00:30:49.934,LocalExecutor2,input,result,275,41635,806.78,775.08,48.38,10.88,26.46,40.67,3.46,61397
2023/06/27 00:30:50.012,LocalExecutor2,input,result,276,41636,838.1,803.9,76.87,10.92,25.81,41.27,4.02,61399
2023/06/27 00:30:50.056,LocalExecutor2,input,result,277,41637,838.91,769.08,41.69,10.93,28.25,41.16,3.35,61400
2023/06/27 00:30:50.134,LocalExecutor2,input,result,282,41638,736.55,737.35,81.43,11.05,25.83,41.34,3.55,61402
2023/06/27 00:30:50.218,LocalExecutor2,input,result,283,41639,808.0,808.87,83.83,11.05,25.77,41.34,2.67,61403
2023/06/27 00:30:50.293,LocalExecutor2,input,result,285,41640,803.18,804.05,72.57,11.02,25.73,41.52,5.75,61405
2023/06/27 00:30:50.404,LocalExecutor2,input,result,289,41641,743.33,742.5,111.27,11.22,27.93,42.13,3.12,61407
2023/06/27 00:30:50.500,LocalExecutor2,input,result,290,41642,825.12,825.34,96.31,11.14,27.66,41.76,2.59,61409
2023/06/27 00:30:50.544,LocalExecutor2,input,result,291,41643,832.74,764.13,42.58,11.14,26.47,41.76,4.49,61410
2023/06/27 00:30:50.617,LocalExecutor2,input,result,292,41644,821.94,798.32,71.39,9.15,28.69,34.26,4.57,61412
2023/06/27 00:30:50.656,LocalExecutor2,input,result,296,41645,744.42,745.28,42.28,11.39,26.92,42.69,2.77,61413
2023/06/27 00:30:50.743,LocalExecutor2,input,result,299,41646,747.47,748.32,83.43,11.39,29.02,42.41,2.8,61415
2023/06/27 00:30:50.842,LocalExecutor2,input,result,301,41647,763.26,763.62,100.08,11.63,27.03,43.54,3.89,61416
2023/06/27 00:30:50.884,LocalExecutor2,input,result,302,41648,772.41,771.7,42.3,11.48,26.68,42.77,3.35,61418
2023/06/27 00:30:51.048,LocalExecutor2,input,result,306,41649,751.97,752.83,166.05,11.52,25.86,42.53,2.85,61420
2023/06/27 00:30:51.097,LocalExecutor2,input,result,307,41650,779.09,779.47,48.8,11.52,26.5,42.53,2.7,61422
2023/06/27 00:30:51.156,LocalExecutor2,input,result,309,41651,804.17,782.51,55.91,11.54,28.63,43.31,3.35,61423
2023/06/27 00:30:51.220,LocalExecutor2,input,result,310,41652,827.93,794.61,67.18,11.55,26.38,43.2,2.66,61425
2023/06/27 00:30:51.274,LocalExecutor2,input,result,312,41653,822.82,780.1,53.37,11.62,25.91,43.29,3.49,61426
2023/06/27 00:30:51.370,LocalExecutor2,input,result,315,41654,824.25,824.31,92.05,11.56,28.81,43.2,4.05,61428
2023/06/27 00:30:51.437,LocalExecutor2,input,result,317,41655,808.87,794.56,67.95,11.34,28.26,42.25,3.4,61429
2023/06/27 00:30:51.509,LocalExecutor2,input,result,320,41656,743.66,744.07,67.04,9.64,27.7,36.54,7.56,61431
2023/06/27 00:30:51.590,LocalExecutor2,input,result,322,41657,753.99,754.58,87.18,11.42,27.26,42.48,2.63,61433
2023/06/27 00:30:51.664,LocalExecutor2,input,result,324,41658,744.75,744.94,74.75,10.97,26.83,41.39,2.92,61434
2023/06/27 00:30:51.744,LocalExecutor2,input,result,325,41659,802.37,802.49,72.26,11.04,32.59,41.42,4.23,61436
2023/06/27 00:30:51.798,LocalExecutor2,input,result,327,41660,799.49,787.67,60.39,11.17,27.64,42.1,3.03,61438
2023/06/27 00:30:51.879,LocalExecutor2,input,result,330,41661,752.85,751.86,79.01,10.12,28.24,38.7,3.87,61439
2023/06/27 00:30:51.940,LocalExecutor2,input,result,331,41662,785.38,786.4,57.4,10.12,29.76,38.7,4.2,61441
2023/06/27 00:30:52.004,LocalExecutor2,input,result,334,41663,747.84,748.57,67.06,9.46,27.32,36.88,4.0,61442
2023/06/27 00:30:52.171,LocalExecutor2,input,result,338,41664,738.94,739.25,169.5,9.65,27.78,37.43,2.64,61445
2023/06/27 00:30:52.246,LocalExecutor2,input,result,339,41665,794.61,795.57,73.68,9.35,28.24,35.7,2.81,61446
2023/06/27 00:30:52.300,LocalExecutor2,input,result,340,41666,804.22,779.55,50.04,9.16,32.9,39.98,2.65,61448
2023/06/27 00:30:52.343,LocalExecutor2,input,result,341,41667,816.2,773.56,46.02,9.16,29.73,39.98,2.91,61449
2023/06/27 00:30:52.417,LocalExecutor2,input,result,342,41668,840.48,801.94,74.24,9.13,28.07,32.11,3.52,61451
2023/06/27 00:30:52.460,LocalExecutor2,input,result,344,41669,805.72,770.67,43.58,8.86,28.26,30.35,2.81,61452
2023/06/27 00:30:52.540,LocalExecutor2,input,result,346,41670,824.47,807.68,79.07,8.57,28.73,28.34,2.6,61454
2023/06/27 00:30:52.607,LocalExecutor2,input,result,349,41671,822.17,797.3,66.09,8.38,29.49,26.98,2.91,61455
2023/06/27 00:30:52.661,LocalExecutor2,input,result,351,41672,803.64,782.4,55.08,8.68,28.42,28.57,2.72,61457
2023/06/27 00:30:52.701,LocalExecutor2,input,result,354,41673,770.6,770.72,40.21,9.13,28.55,31.37,2.68,61458
2023/06/27 00:30:52.791,LocalExecutor2,input,result,356,41674,825.76,811.56,83.41,9.66,33.32,33.92,3.51,61460
2023/06/27 00:30:52.840,LocalExecutor2,input,result,358,41675,772.21,772.38,54.64,9.56,29.13,34.03,2.8,61461
2023/06/27 00:30:53.029,LocalExecutor2,input,result,363,41676,734.34,735.27,186.14,9.1,30.66,29.88,3.08,61464
2023/06/27 00:30:53.112,LocalExecutor2,input,result,364,41677,801.69,801.8,78.62,9.03,32.25,29.61,4.48,61465
2023/06/27 00:30:53.154,LocalExecutor2,input,result,365,41678,828.75,777.69,50.33,9.03,27.44,29.61,2.81,61467
2023/06/27 00:30:53.230,LocalExecutor2,input,result,368,41679,804.29,804.68,73.86,9.66,27.14,32.8,3.82,61468
2023/06/27 00:30:53.287,LocalExecutor2,input,result,370,41680,789.41,783.33,56.66,9.94,28.43,34.37,3.27,61470
2023/06/27 00:30:53.334,LocalExecutor2,input,result,371,41681,826.43,778.36,48.93,10.06,28.02,35.1,2.71,61471
2023/06/27 00:30:53.375,LocalExecutor2,input,result,373,41682,795.31,768.09,37.63,9.79,29.59,33.98,3.2,61473
2023/06/27 00:30:53.459,LocalExecutor2,input,result,374,41683,838.41,806.67,79.34,9.79,30.95,33.98,5.18,61474
2023/06/27 00:30:53.493,LocalExecutor2,input,result,377,41684,775.78,776.5,42.84,9.73,25.9,34.04,3.13,61476
2023/06/27 00:30:53.561,LocalExecutor2,input,result,378,41685,823.19,796.81,67.08,9.51,26.39,32.52,3.08,61477
2023/06/27 00:30:53.616,LocalExecutor2,input,result,379,41686,842.49,780.6,54.58,8.95,26.54,29.27,3.31,61479
2023/06/27 00:30:53.672,LocalExecutor2,input,result,382,41687,788.56,789.5,55.02,9.5,26.5,31.27,3.14,61480
2023/06/27 00:30:53.749,LocalExecutor2,input,result,384,41688,820.32,805.3,75.44,9.47,25.54,31.68,4.39,61482
2023/06/27 00:30:53.825,LocalExecutor2,input,result,385,41689,858.72,801.99,76.44,9.85,26.25,32.77,4.04,61483
2023/06/27 00:30:53.869,LocalExecutor2,input,result,388,41690,773.83,774.44,43.22,8.91,26.88,29.29,2.95,61485
2023/06/27 00:30:53.905,LocalExecutor2,input,result,391,41691,745.21,745.34,37.08,9.75,27.72,33.81,3.53,61486
2023/06/27 00:30:53.949,LocalExecutor2,input,result,392,41692,773.27,772.44,41.26,10.04,29.21,35.64,3.21,61488
2023/06/27 00:30:54.024,LocalExecutor2,input,result,393,41693,831.86,801.03,73.36,10.04,25.74,35.64,7.47,61489
2023/06/27 00:30:54.086,LocalExecutor2,input,result,395,41694,838.83,793.45,64.53,9.97,28.25,34.64,3.29,61491
2023/06/27 00:30:54.134,LocalExecutor2,input,result,398,41695,781.75,782.56,49.25,9.6,28.04,32.17,3.21,61492
2023/06/27 00:30:54.213,LocalExecutor2,input,result,400,41696,818.92,799.71,73.35,9.77,29.21,32.31,4.55,61494
2023/06/27 00:30:54.306,LocalExecutor2,input,result,401,41697,869.67,824.68,97.52,9.64,27.67,32.03,3.85,61496
2023/06/27 00:30:54.359,LocalExecutor2,input,result,403,41698,814.19,784.1,56.22,10.01,25.1,33.34,2.96,61497
2023/06/27 00:30:54.435,LocalExecutor2,input,result,404,41699,853.4,802.83,75.58,11.05,26.18,38.62,2.78,61499
2023/06/27 00:30:54.483,LocalExecutor2,input,result,406,41700,826.0,772.42,43.59,11.18,28.2,39.23,2.88,61500
2023/06/27 00:30:54.547,LocalExecutor2,input,result,407,41701,820.32,794.2,63.52,11.28,30.94,43.52,2.76,61502
2023/06/27 00:30:54.614,LocalExecutor2,input,result,408,41702,860.33,798.8,71.95,10.32,25.7,37.05,2.75,61503
2023/06/27 00:30:54.693,LocalExecutor2,input,result,411,41703,820.53,796.69,69.92,12.57,31.41,45.71,4.07,61505
2023/06/27 00:30:54.736,LocalExecutor2,input,result,413,41704,786.68,776.23,48.72,12.92,27.62,47.21,3.46,61506
2023/06/27 00:30:54.797,LocalExecutor2,input,result,414,41705,828.19,784.76,58.01,12.92,30.24,47.21,3.54,61508
2023/06/27 00:30:54.864,LocalExecutor2,input,result,416,41706,814.95,796.26,67.25,13.03,30.71,47.38,3.08,61509
2023/06/27 00:30:54.907,LocalExecutor2,input,result,418,41707,813.24,769.68,42.7,12.88,30.31,46.65,3.37,61511
2023/06/27 00:30:54.982,LocalExecutor2,input,result,419,41708,831.51,803.64,76.84,12.75,27.56,46.27,3.45,61512
2023/06/27 00:30:55.030,LocalExecutor2,input,result,420,41709,844.01,774.27,47.43,12.89,27.24,46.76,4.53,61514
2023/06/27 00:30:55.067,LocalExecutor2,input,result,421,41710,794.06,757.98,32.04,13.29,30.31,48.08,5.84,61515
2023/06/27 00:30:55.105,LocalExecutor2,input,result,422,41711,797.72,772.92,45.55,13.28,27.6,48.17,2.76,61516
2023/06/27 00:30:55.177,LocalExecutor2,input,result,424,41712,827.32,801.13,71.02,13.32,27.64,48.63,2.77,61518
2023/06/27 00:30:55.225,LocalExecutor2,input,result,425,41713,820.88,769.33,42.68,13.64,28.93,49.35,5.76,61519
2023/06/27 00:30:55.266,LocalExecutor2,input,result,426,41714,798.44,774.2,46.12,14.15,27.54,51.33,3.09,61521
2023/06/27 00:30:55.362,LocalExecutor2,input,result,427,41715,851.53,812.39,85.04,14.35,34.24,62.7,4.78,61522
2023/06/27 00:30:55.401,LocalExecutor2,input,result,430,41716,784.12,784.77,48.81,14.62,26.93,53.46,3.33,61524
2023/06/27 00:30:55.468,LocalExecutor2,input,result,431,41717,829.13,792.74,65.97,14.62,28.59,53.46,2.86,61525
2023/06/27 00:30:55.549,LocalExecutor2,input,result,433,41718,841.12,802.63,76.67,14.73,32.78,62.43,2.68,61527
2023/06/27 00:30:55.596,LocalExecutor2,input,result,434,41719,833.76,782.9,53.45,14.79,25.5,54.0,3.76,61528
2023/06/27 00:30:55.658,LocalExecutor2,input,result,435,41720,833.27,784.31,56.08,14.51,30.35,53.11,3.85,61530
2023/06/27 00:30:55.711,LocalExecutor2,input,result,436,41721,829.03,781.85,54.41,14.47,26.94,53.0,4.69,61531
2023/06/27 00:30:55.792,LocalExecutor2,input,result,440,41722,757.06,757.38,83.53,13.9,27.86,51.03,3.43,61533
2023/06/27 00:30:55.859,LocalExecutor2,input,result,442,41723,745.83,746.8,66.3,14.46,28.41,52.76,3.49,61535
2023/06/27 00:30:55.911,LocalExecutor2,input,result,443,41724,775.89,776.82,46.99,14.5,30.06,62.0,4.17,61536
2023/06/27 00:30:55.976,LocalExecutor2,input,result,444,41725,827.35,791.77,63.81,14.5,34.14,62.0,3.44,61538
